Designator,Mid X,Mid Y,Rotation,Layer
_31,159.957437,-135.221496,0.0,top
_30,150.963937,-100.626996,0.0,top
_29,204.8,-131.7,0.0,top
_28,158.212937,-133.423496,0.0,top
_27,167.6,-111.460388,0.0,top
_26,203.2,-133.6,0.0,top
_25,185.995437,-79.859996,0.0,top
_24,151.843937,-98.221496,0.0,top
_23,150.109937,-102.964496,0.0,top
_22,169.993398,-100.853786,90.0,top
_21,212.074937,-105.604996,0.0,top
_20,152.706937,-95.877496,0.0,top
_19,208.0,-127.8,0.0,top
_18,169.993398,-122.06699,90.0,top
_17,209.504437,-98.506996,0.0,top
_16,201.6,-135.5,0.0,top
_15,193.6,-111.460388,0.0,top
_14,183.482008,-79.896137,0.0,top
_13,206.4,-129.8,0.0,top
_12,161.675937,-137.043996,0.0,top
_11,210.362937,-100.888496,0.0,top
_10,211.226437,-103.227996,0.0,top
_9,191.206602,-100.853786,90.0,top
_8,156.479437,-131.605996,0.0,top
_7,180.967289,-79.890505,0.0,top
_6,178.444937,-79.848496,0.0,top
_5,191.206602,-122.06699,0.0,top
_4,208.624937,-96.130996,0.0,top
_3,149.271437,-105.349996,0.0,top
_2,154.713937,-129.797996,0.0,top
,175.920437,-79.852996,0.0,top
C1,176.9,-111.4,90.0,bottom
CN10,208.889899,-101.501537,70.0,bottom
CN11,203.586062,-130.630222,310.0,bottom
CN7,159.463354,-132.40165,46.0,bottom
CN8,152.389899,-101.228463,290.0,bottom
CN9,180.8,-81.4,0.0,bottom
H1,151.4,-117.33,0.0,top
H2,198.7,-87.33,0.0,top
H3_2,198.7,-87.33,0.0,top
H3,163.0,-88.03,0.0,top
H4_2,202.1,-117.63,0.0,top
H4,163.0,-88.03,0.0,top
J1,181.35,-142.05,180.0,top
J3,181.52,-137.3,90.0,top
JP2,182.5,-104.4,90.0,bottom
JP4,182.0,-118.1,270.0,bottom
U1,180.6,-111.460388,270.0,top
U35,152.331269,-101.186819,250.0,top
U36,180.86,-81.4,180.0,top
U37,208.862538,-101.456361,110.0,top
U38,159.355937,-132.329996,134.0,top
U39,203.567319,-130.745753,230.0,top
